Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Cast Bucket,Required Colors,Hybrid Colors,Archetype Size Min,Archetypes,J2SJosh Rating,Rating Note,Second Half,Second Half Cost,Layout,Scryfall URL,Image URL,Collector Number
"Emrakul, the Exigent Doom","Emrakul, the Exigent Doom",Colorless,C,C,{10},10,Mythic,Legendary Creature — Eldrazi,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137,1
Undulating Witness,Undulating Witness,Blue,U,U,{4}{U},5,Common,Creature — Serpent,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/45/undulating-witness,https://cards.scryfall.io/normal/front/0/a/0adbb4b2-a142-48da-8f4b-fa91529dbac4.jpg?1789556706,45
Unsummon,Unsummon,Blue,U,U,{U},1,Common,Instant,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/46/unsummon,https://cards.scryfall.io/normal/front/d/d/ddad9f16-52d5-49de-82b0-b1a5294a9c44.jpg?1789556722,46
Variable Chaser // Arc of Fortune,Variable Chaser,Blue,U,U,{2}{U},3,Rare,Creature — Human Wizard,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Arc of Fortune,{2}{U},prepare,https://scryfall.com/card/fra/47/variable-chaser-arc-of-fortune,https://cards.scryfall.io/normal/front/e/3/e3afedb1-bf9d-4e31-9700-433514cc29b1.jpg?1789470807,47
Apex Witchstalker,Apex Witchstalker,Black,B,B,{4}{B}{B},6,Common,Creature — Wolf,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/48/apex-witchstalker,https://cards.scryfall.io/normal/front/c/d/cd56f047-6bdc-4e83-8a7c-923ebad26302.jpg?1789556710,48
Bloodline Recollector // Ancestral Craving,Bloodline Recollector,Black,B,B,{1}{B},2,Mythic,Creature — Vampire Warlock,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,Ancestral Craving,{B},prepare,https://scryfall.com/card/fra/49/bloodline-recollector-ancestral-craving,https://cards.scryfall.io/normal/front/4/f/4fcc913e-f736-460a-b24b-022fa2e861b9.jpg?1788329264,49
Break Under Pressure,Break Under Pressure,Black,B,B,{2}{B},3,Uncommon,Instant,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/50/break-under-pressure,https://cards.scryfall.io/normal/front/4/6/46974d94-e900-43e4-92b5-4fb9b9f7cf46.jpg?1789385622,50
Cast Away Doubt,Cast Away Doubt,Black,B,B,{2}{B},3,Common,Sorcery,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/51/cast-away-doubt,https://cards.scryfall.io/normal/front/3/b/3b5b28a4-0abd-4dc2-9856-c9a8d27f6a2d.jpg?1788353191,51
Dark Matter Manipulator,Dark Matter Manipulator,Black,B,B,{B},1,Rare,Creature — Human Warlock,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/52/dark-matter-manipulator,https://cards.scryfall.io/normal/front/4/e/4ec912d5-cbe7-4d07-9ece-b03ac02d3055.jpg?1789385959,52
Darklight Phoenix,Darklight Phoenix,Black,B,B,{3}{B},4,Mythic,Creature — Phoenix,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/53/darklight-phoenix,https://cards.scryfall.io/normal/front/e/c/ec454979-3839-4be3-a34a-9d25482948ba.jpg?1789470810,53
Extended Absence,Extended Absence,Black,B,B,{3}{B},4,Common,Instant,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/54/extended-absence,https://cards.scryfall.io/normal/front/e/b/eb4b6ed8-782e-4473-abc9-d50bf2275c6a.jpg?1789556713,54
Extrapolate the Impossible,Extrapolate the Impossible,Black,B,B,{1}{B},2,Rare,Sorcery,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.5,,,,normal,https://scryfall.com/card/fra/55/extrapolate-the-impossible,https://cards.scryfall.io/normal/front/1/7/17fb6538-493c-41aa-ad13-3e63d3ad3317.jpg?1789729624,55
Last Gasp,Last Gasp,Black,B,B,{1}{B},2,Common,Instant,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/56/last-gasp,https://cards.scryfall.io/normal/front/2/3/2381d123-d8c7-4822-98fe-b1c365beb5ed.jpg?1789127524,56
Lich's Relic,Lich's Relic,Black,B,B,{B},1,Rare,Artifact — Equipment,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/57/lichs-relic,https://cards.scryfall.io/normal/front/b/1/b105511d-5022-4a84-b6ce-4bb433e93a62.jpg?1789644819,57
Multiply by Zero,Multiply by Zero,Black,B,B,{1}{B},2,Uncommon,Instant,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/58/multiply-by-zero,https://cards.scryfall.io/normal/front/9/0/90d684a4-9639-4792-8760-2011a7a85370.jpg?1789644823,58
Overwrite the Multiverse,Overwrite the Multiverse,Black,B,B,{4}{B}{B},6,Mythic,Sorcery,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/59/overwrite-the-multiverse,https://cards.scryfall.io/normal/front/c/4/c4554f5b-791b-48f6-bf54-ad28699e1beb.jpg?1788952080,59
Rampart Hunter,Rampart Hunter,Black,B,B,{3}{B},4,Common,Creature — Horror,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/60/rampart-hunter,https://cards.scryfall.io/normal/front/f/4/f4a80225-7459-4151-86bb-8fdea31c39a6.jpg?1789127211,60
Rank Rat,Rank Rat,Black,B,B,{1}{B},2,Common,Creature — Zombie Rat,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/61/rank-rat,https://cards.scryfall.io/normal/front/4/f/4ff6da82-d7dd-4b59-b7e6-30670cea7169.jpg?1789556727,61
Rewrite Regrets,Rewrite Regrets,Black,B,B,{3}{B},4,Uncommon,Sorcery,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/62/rewrite-regrets,https://cards.scryfall.io/normal/front/4/5/453cfde7-c460-4b55-9472-b714e16f24bb.jpg?1788952087,62
Rise of the Deathbringer,Rise of the Deathbringer,Black,B,B,{4}{B},5,Rare,Instant,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/63/rise-of-the-deathbringer,https://cards.scryfall.io/normal/front/8/1/811719ad-b5a3-4d31-8c6f-5dbdfccf7c1f.jpg?1789470807,63
Sanctum Lurker,Sanctum Lurker,Black,B,B,{2}{B},3,Rare,Creature — Horror,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/64/sanctum-lurker,https://cards.scryfall.io/normal/front/2/1/2185c08f-bb4d-49d5-8b6c-c629a48bb61c.jpg?1789556729,64
Screeching Soulbreaker,Screeching Soulbreaker,Black,B,B,{2}{B},3,Common,Creature — Siren Bard,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/65/screeching-soulbreaker,https://cards.scryfall.io/normal/front/7/3/738667a1-c184-43ea-829f-49fbb69b6fc0.jpg?1789385960,65
Silence the Echo,Silence the Echo,Black,B,B,{1}{B},2,Common,Sorcery,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/66/silence-the-echo,https://cards.scryfall.io/normal/front/f/1/f1d274db-751b-4414-a38d-762198168e91.jpg?1789385640,66
Solve for Disappointment,Solve for Disappointment,Black,B,B,{1}{B},2,Common,Sorcery,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/67/solve-for-disappointment,https://cards.scryfall.io/normal/front/7/b/7beaa8c9-1a2c-4c88-b579-91e371d8d9e3.jpg?1788878155,67
Terminal Criticism,Terminal Criticism,Black,B,B,{1}{B},2,Uncommon,Instant,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.5,,,,normal,https://scryfall.com/card/fra/68/terminal-criticism,https://cards.scryfall.io/normal/front/7/e/7ebd7e38-b27c-4c6e-aaea-e8ee5ba5e5df.jpg?1789470810,68
Theoretical Necromancer,Theoretical Necromancer,Black,B,B,{2}{B},3,Common,Creature — Vampire Warlock,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/69/theoretical-necromancer,https://cards.scryfall.io/normal/front/e/3/e36a7908-1e22-494b-adb4-e72ac0974d62.jpg?1789556734,69
Void Extrapolator // Omit Variables,Void Extrapolator,Black,B,UB,{1}{B},2,Common,Creature — Aetherborn Warlock,Mono Black,B,UB,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,Omit Variables,{U/B},prepare,https://scryfall.com/card/fra/70/void-extrapolator-omit-variables,https://cards.scryfall.io/normal/front/0/e/0eae2efb-bf25-48ee-9c07-9098008110ad.jpg?1789556787,70
Vraska's Final Mercy,Vraska's Final Mercy,Black,B,B,{B}{B},2,Rare,Sorcery,Mono Black,B,,1,|Black||White/Black||Blue/Black||Black/Red||Black/Green||White/Blue/Black||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/71/vraskas-final-mercy,https://cards.scryfall.io/normal/front/9/9/992bd991-7cfb-459f-bafd-9a44f3c925c5.jpg?1789699369,71
Ajani's Anguish,Ajani's Anguish,Red,R,R,{X}{R},1,Rare,Enchantment,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/72/ajanis-anguish,https://cards.scryfall.io/normal/front/d/9/d9039a58-2f17-4b8a-b714-3a2f0b46f057.jpg?1789470674,72
Artifist Acumen,Artifist Acumen,Red,R,R,{R},1,Common,Sorcery,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/73/artifist-acumen,https://cards.scryfall.io/normal/front/7/d/7d3b720d-f27c-462a-8f80-15748e5086e1.jpg?1789729762,73
Awaken the Inferno,Awaken the Inferno,Red,R,R,{4}{R},5,Common,Sorcery,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/74/awaken-the-inferno,https://cards.scryfall.io/normal/front/c/5/c596c4ec-8480-4be9-a45d-700398a126f6.jpg?1789556812,74
Blazing Crescendo,Blazing Crescendo,Red,R,R,{1}{R},2,Common,Instant,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/75/blazing-crescendo,https://cards.scryfall.io/normal/front/8/4/8414a98c-0c79-4884-bc9b-061a6456b392.jpg?1789060147,75
Chandra's Emberling,Chandra's Emberling,Red,R,R,{2}{R},3,Common,Creature — Gremlin Elemental,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/76/chandras-emberling,https://cards.scryfall.io/normal/front/3/a/3a64c5f4-9cfc-4d19-bd99-13d619b1aa9d.jpg?1789385708,76
Command the Stage,Command the Stage,Red,R,R,{2}{R},3,Uncommon,Sorcery,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/77/command-the-stage,https://cards.scryfall.io/normal/front/f/3/f3307da2-6dad-4ef2-9614-a7d34f38088e.jpg?1789644825,77
Craterclaw Colossus,Craterclaw Colossus,Red,R,R,{4}{R}{R}{R},7,Mythic,Artifact Creature — Beast Construct,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/78/craterclaw-colossus,https://cards.scryfall.io/normal/front/4/7/47793a51-08c6-4ad2-a7e5-a4484d83a5cd.jpg?1788329298,78
Curse-Marred Demon,Curse-Marred Demon,Red,R,R,{2}{R}{R},4,Rare,Creature — Demon,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/79/curse-marred-demon,https://cards.scryfall.io/normal/front/8/f/8f827e50-0a08-4bc8-98b1-b26c9af15ef2.jpg?1789470818,79
Draconic Visitor,Draconic Visitor,Red,R,R,{3}{R}{R},5,Rare,Creature — Dragon,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/80/draconic-visitor,https://cards.scryfall.io/normal/front/1/1/112f8478-bd89-4a14-9721-8ab750613129.jpg?1789470842,80
Eardrum Rattler,Eardrum Rattler,Red,R,R,{1}{R},2,Common,Creature — Human Bard,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/81/eardrum-rattler,https://cards.scryfall.io/normal/front/5/f/5f8771f9-8128-4818-a11d-41ea368cf697.jpg?1789127173,81
Essence Burn,Essence Burn,Red,R,R,{1}{R},2,Uncommon,Instant,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.5,,,,normal,https://scryfall.com/card/fra/82/essence-burn,https://cards.scryfall.io/normal/front/d/2/d2e958de-70de-4156-8f9b-b2c0c1ba704a.jpg?1789470825,82
Face Yourself,Face Yourself,Red,R,R,{5}{R}{R},7,Rare,Sorcery,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/83/face-yourself,https://cards.scryfall.io/normal/front/3/c/3ccf8f64-19bd-4fdf-b70a-30a042bacf2f.jpg?1789127528,83
Fulminous Forte,Fulminous Forte,Red,R,R,{2}{R},3,Uncommon,Instant,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/84/fulminous-forte,https://cards.scryfall.io/normal/front/1/9/19acb2b5-3b3e-43f0-bd81-8426ed3d9c55.jpg?1789614832,84
Hallway Heckler // Vicious Verse,Hallway Heckler,Red,R,BR,{2}{R},3,Common,Creature — Elemental Sorcerer,Mono Red,R,BR,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,Vicious Verse,{B/R},prepare,https://scryfall.com/card/fra/85/hallway-heckler-vicious-verse,https://cards.scryfall.io/normal/front/7/e/7e324816-552f-455d-97c4-5ea6b26d2e6e.jpg?1789127576,85
Heartstring Puller,Heartstring Puller,Red,R,R,{3}{R},4,Common,Creature — Elf Sorcerer,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/86/heartstring-puller,https://cards.scryfall.io/normal/front/c/b/cbfe3354-7ced-4773-9a4e-a937ae9f94f8.jpg?1789556808,86
Identity Echo,Identity Echo,Red,R,R,{2}{R},3,Rare,Enchantment,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.5,,,,normal,https://scryfall.com/card/fra/87/identity-echo,https://cards.scryfall.io/normal/front/e/6/e600b33b-8916-43dd-95d3-d7cbf874933d.jpg?1789385968,87
Master of Barbs,Master of Barbs,Red,R,R,{1}{R},2,Rare,Creature — Lizard Bard,Mono Red,R,,1,|Red||White/Red||Blue/Red||Black/Red||Red/Green||White/Blue/Red||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/88/master-of-barbs,https://cards.scryfall.io/normal/front/4/4/4404d9d4-9cdd-4dad-a4f6-574d90db5052.jpg?1789127596,88
