Card Name,Color,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,J2SJosh Rating,Scryfall URL,Image URL
Compel Brutality,Green,{1}{G},2,Common,Instant,,,2.5,https://scryfall.com/card/fra/101/compel-brutality,https://cards.scryfall.io/normal/front/b/d/bd32d736-7a58-46b9-90b4-2cac3c3e80a1.jpg?1788521235
"Danitha, Sword of Hope",White,{2}{W},3,Uncommon,Legendary Creature — Human Knight,2,2,2.5,https://scryfall.com/card/fra/196/danitha-sword-of-hope,https://cards.scryfall.io/normal/front/d/5/d5cb9810-3c2d-4ae4-b8b6-0155ca3f47ad.jpg?1789127178
Darklight Phoenix,Black,{3}{B},4,Mythic,Creature — Phoenix,3,2,2.5,https://scryfall.com/card/fra/53/darklight-phoenix,https://cards.scryfall.io/normal/front/e/c/ec454979-3839-4be3-a34a-9d25482948ba.jpg?1789470810
Dedicated Commons,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/175/dedicated-commons,https://cards.scryfall.io/normal/front/3/2/3223e5db-5cc4-42f9-ae9e-ff58abc7c390.jpg?1789556950
Diviner of Victory // Unwind History,Blue,{U},1,Rare,Creature — Dwarf Wizard,1,1,2.5,https://scryfall.com/card/fra/28/diviner-of-victory-unwind-history,https://cards.scryfall.io/normal/front/0/8/0853bb80-8664-432a-8457-600139fd96d5.jpg?1788878145
Emergency Phytomedic // Seed Suture,Multicolor (White/Green),{G/W},1,Common,Creature — Dryad Cleric,1,1,2.5,https://scryfall.com/card/fra/130/emergency-phytomedic-seed-suture,https://cards.scryfall.io/normal/front/d/e/de94d388-919d-44ff-baef-8c90a417ac6d.jpg?1789637792
Fatehold Annex,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/177/fatehold-annex,https://cards.scryfall.io/normal/front/5/1/5140f962-62f3-40fd-a322-44896c7e2613.jpg?1789556955
"Fblthp, Knows the Way",Green,{X}{G}{G},2,Uncommon,Legendary Creature — Homunculus Scout,*,2,2.5,https://scryfall.com/card/fra/258/fblthp-knows-the-way,https://cards.scryfall.io/normal/front/2/8/28fbb55a-5c9d-45ee-bf42-a84b1048f5d2.jpg?1789127976
Formidable Commons,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/178/formidable-commons,https://cards.scryfall.io/normal/front/e/6/e6ca6c3e-f145-42d6-8a17-90770c15afaf.jpg?1789556960
"Gallia, the Merrymaker",Red,{1}{R},2,Uncommon,Legendary Creature — Satyr,2,1,2.5,https://scryfall.com/card/fra/245/gallia-the-merrymaker,https://cards.scryfall.io/normal/front/f/2/f27d50f0-d76e-4ce1-a8d9-d997af6a5b41.jpg?1789385716
Generous Revival,White,{2}{W},3,Uncommon,Sorcery,,,2.5,https://scryfall.com/card/fra/8/generous-revival,https://cards.scryfall.io/normal/front/f/8/f82f181b-a43b-4cec-b8f6-f6c1dd4c64fd.jpg?1788433351
Gideon the Oathless,Black,{2}{B},3,Rare,Legendary Creature — Human Mercenary,3,3,2.5,https://scryfall.com/card/fra/230/gideon-the-oathless,https://cards.scryfall.io/normal/front/c/9/c985b0d1-25bd-4069-aab7-a566ff27a8f6.jpg?1789127990
Grim Repriser,Multicolor (Black/Red),{B}{R},2,Uncommon,Creature — Zombie Bard,2,2,2.5,https://scryfall.com/card/fra/136/grim-repriser,https://cards.scryfall.io/normal/front/8/2/8295c48c-b4dd-4bc1-a206-04cf12b79bbd.jpg?1789470746
Hall of Echoes,Colorless,,0,Rare,Land,,,2.5,https://scryfall.com/card/fra/179/hall-of-echoes,https://cards.scryfall.io/normal/front/4/a/4a771010-b397-4849-ac9b-08e4dd5d6a72.jpg?1789644859
Hunter's Axe,Green,{G},1,Uncommon,Artifact — Equipment,,,2.5,https://scryfall.com/card/fra/108/hunters-axe,https://cards.scryfall.io/normal/front/a/2/a2cc5d0e-9643-4ee2-81de-fa2c3bd1ab09.jpg?1789556822
Infinite Coursework,Blue,{2}{U},3,Common,Enchantment — Aura,,,2.5,https://scryfall.com/card/fra/31/infinite-coursework,https://cards.scryfall.io/normal/front/a/5/a5988272-faaa-463d-a0a1-a8e96b946bad.jpg?1789385916
Innovative Commons,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/182/innovative-commons,https://cards.scryfall.io/normal/front/8/4/84ea799a-faa2-4ff1-a933-432d4ee31a3b.jpg?1789556991
Jace's Machinations,Blue,{2}{U},3,Rare,Instant,,,2.5,https://scryfall.com/card/fra/32/jaces-machinations,https://cards.scryfall.io/normal/front/2/8/282588b9-3656-453b-aa25-2419e078ddc1.jpg?1788878150
"Jace, Reality Sculptor",Blue,{3}{U}{U},5,Rare,Legendary Planeswalker — Jace,,,2.5,https://scryfall.com/card/fra/216/jace-reality-sculptor,https://cards.scryfall.io/normal/front/7/4/74087795-0b38-4fd2-9841-147583baca41.jpg?1790075861
Konstrari Annex,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/183/konstrari-annex,https://cards.scryfall.io/normal/front/3/9/39c805e3-82cd-42a9-80fe-8d81712a94ea.jpg?1789556993
"Koth, the Geomancer",Red,{2}{R},3,Uncommon,Legendary Creature — Human Warrior,3,2,2.5,https://scryfall.com/card/fra/248/koth-the-geomancer,https://cards.scryfall.io/normal/front/5/4/54f64e95-5a97-4d7c-9939-7f33a3165562.jpg?1789470892
"Loot, the Nexus",Green,{2}{G},3,Uncommon,Legendary Creature — Beast Noble,2,1,2.5,https://scryfall.com/card/fra/262/loot-the-nexus,https://cards.scryfall.io/normal/front/3/c/3cfa4fc6-4d90-4576-a83f-6496c7f21104.jpg?1789614764
"Massacre Girl, Most Wanted",Black,{4}{B},5,Uncommon,Legendary Creature — Human Assassin,4,4,2.5,https://scryfall.com/card/fra/234/massacre-girl-most-wanted,https://cards.scryfall.io/normal/front/9/0/9028d31f-9c41-47e3-885b-6a869bca8178.jpg?1789644882
Master of Barbs,Red,{1}{R},2,Rare,Creature — Lizard Bard,2,1,2.5,https://scryfall.com/card/fra/88/master-of-barbs,https://cards.scryfall.io/normal/front/4/4/4404d9d4-9cdd-4dad-a4f6-574d90db5052.jpg?1789127596
Meticulous Commons,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/184/meticulous-commons,https://cards.scryfall.io/normal/front/9/3/93ac525e-1919-43dd-aba4-073b7e4c1768.jpg?1789557002
Paradox Shaper // Omit Variables,Multicolor (Blue/Black),{1}{U/B},2,Uncommon,Creature — Octopus Wizard,1,3,2.5,https://scryfall.com/card/fra/143/paradox-shaper-omit-variables,https://cards.scryfall.io/normal/front/e/6/e61b9d48-0ace-4453-afe0-a1024444bac0.jpg?1788329390
"Pia, Determined Rebuilder",Red,{2}{R},3,Uncommon,Legendary Creature — Human Artificer,2,2,2.5,https://scryfall.com/card/fra/250/pia-determined-rebuilder,https://cards.scryfall.io/normal/front/d/d/dd3faaf4-45ca-4714-8dbe-37102ec131cf.jpg?1789385851
Pyre Rhymer // Molten Tide,Red,{1}{R}{R},3,Rare,Creature — Elemental Sorcerer,3,3,2.5,https://scryfall.com/card/fra/91/pyre-rhymer-molten-tide,https://cards.scryfall.io/normal/front/2/b/2b0ebea0-86de-4da4-9fe8-dacc1e75c161.jpg?1789470850
"Rescue Girl, First Responder",White,{2}{W},3,Uncommon,Legendary Creature — Human Cleric,1,3,2.5,https://scryfall.com/card/fra/202/rescue-girl-first-responder,https://cards.scryfall.io/normal/front/6/9/699874e3-1ccf-4a6c-8371-61040de82d08.jpg?1789645598
Rewrite Regrets,Black,{3}{B},4,Uncommon,Sorcery,,,2.5,https://scryfall.com/card/fra/62/rewrite-regrets,https://cards.scryfall.io/normal/front/4/5/453cfde7-c460-4b55-9472-b714e16f24bb.jpg?1788952087
Room of Refuge,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/188/room-of-refuge,https://cards.scryfall.io/normal/front/9/a/9a467560-6676-4fc2-9400-768a79650aa4.jpg?1789557010
"Ruric Thar, Magecrusher",Green,{5}{G}{G},7,Uncommon,Legendary Creature — Ogre Warrior,7,7,2.5,https://scryfall.com/card/fra/265/ruric-thar-magecrusher,https://cards.scryfall.io/normal/front/e/e/eed83302-dc2c-45f4-a4bd-af9da51edef5.jpg?1789358701
Stingerquill Annex,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/190/stingerquill-annex,https://cards.scryfall.io/normal/front/6/e/6ede3143-69ac-4cbe-922a-d25b07c26da7.jpg?1789557046
Stingerquill Voxmancer // Vicious Verse,Multicolor (Black/Red),{B/R},1,Uncommon,Creature — Goblin Sorcerer,1,2,2.5,https://scryfall.com/card/fra/151/stingerquill-voxmancer-vicious-verse,https://cards.scryfall.io/normal/front/8/4/84b1c268-3b8a-41b6-92e3-a2ce0cc3d738.jpg?1788329418
Surgical Precision,White,{1}{W},2,Common,Sorcery,,,2.5,https://scryfall.com/card/fra/22/surgical-precision,https://cards.scryfall.io/normal/front/d/3/d3acf176-ef02-4729-88c4-0f0dfbfdada4.jpg?1789385570
"Tetsuko Umezawa, Pursuer",Red,{3}{R},4,Uncommon,Legendary Creature — Human Mercenary,2,4,2.5,https://scryfall.com/card/fra/252/tetsuko-umezawa-pursuer,https://cards.scryfall.io/normal/front/d/f/df818900-ce5e-4b0d-a927-c975cbef7eda.jpg?1789128002
"Teyo, Diamondblade Mage",Black,{3}{B},4,Uncommon,Legendary Creature — Human Warlock,3,1,2.5,https://scryfall.com/card/fra/236/teyo-diamondblade-mage,https://cards.scryfall.io/normal/front/1/0/100c3b67-0c92-4224-b5ed-67789c612df7.jpg?1789470892
"Thalia, the Survivor",White,{3}{W},4,Uncommon,Legendary Creature — Human Soldier,3,4,2.5,https://scryfall.com/card/fra/205/thalia-the-survivor,https://cards.scryfall.io/normal/front/8/0/80226231-9e70-430e-aabc-f262f70b9226.jpg?1789127700
Theorist's Proxy,Blue,{1}{U},2,Rare,Creature — Illusion,0,3,2.5,https://scryfall.com/card/fra/44/theorists-proxy,https://cards.scryfall.io/normal/front/7/1/710302ca-c4be-4069-8ce1-f531414c74e9.jpg?1788878151
Theorix Annex,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/192/theorix-annex,https://cards.scryfall.io/normal/front/9/7/97bbbd23-ecb1-4407-ac14-dede08532a1e.jpg?1789557008
Theorix Charm,Multicolor (Blue/Black),{U}{B},2,Uncommon,Instant,,,2.5,https://scryfall.com/card/fra/155/theorix-charm,https://cards.scryfall.io/normal/front/2/8/2835c9aa-0904-44db-8da2-e8c4e04201aa.jpg?1789127659
"Tomik, Orzhov Lawmage",White,{1}{W},2,Uncommon,Legendary Creature — Human Advisor,2,1,2.5,https://scryfall.com/card/fra/206/tomik-orzhov-lawmage,https://cards.scryfall.io/normal/front/7/c/7ca95235-6e54-4ff8-bc2e-6a3d483ff007.jpg?1789729766
Transformative Commons,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/193/transformative-commons,https://cards.scryfall.io/normal/front/b/5/b57d5be7-3157-4b49-aeb8-d7368ca7e9dd.jpg?1789557014
"Traxos, Academy Guardian",Blue,{3}{U},4,Uncommon,Legendary Artifact Creature — Dragon Construct,1,5,2.5,https://scryfall.com/card/fra/222/traxos-academy-guardian,https://cards.scryfall.io/normal/front/a/3/a349800f-b634-4e74-a9d9-185df37ad909.jpg?1789568451
Vigorbloom Annex,Colorless,,0,Common,Land,,,2.5,https://scryfall.com/card/fra/194/vigorbloom-annex,https://cards.scryfall.io/normal/front/d/b/db8c7bdd-76cd-4be0-ae0d-d430e9a5fe7a.jpg?1789557019
Vigorbloom Vanguard // Seed Suture,Multicolor (White/Green),{1}{G/W},2,Uncommon,Creature — Troll Druid,2,2,2.5,https://scryfall.com/card/fra/161/vigorbloom-vanguard-seed-suture,https://cards.scryfall.io/normal/front/a/c/acefc515-bf97-4dc0-b0f7-ae8ae5a61671.jpg?1788329423
Vindictive Triumph,Multicolor (White/Black),{W}{B}{B},3,Rare,Instant,,,2.5,https://scryfall.com/card/fra/162/vindictive-triumph,https://cards.scryfall.io/normal/front/a/8/a803dbe7-153a-4e92-ad4d-c2babebe003d.jpg?1789127665
Way of the Cryomancer,Blue,{2}{U},3,Uncommon,Legendary Enchantment,,,2.5,https://scryfall.com/card/fra/223/way-of-the-cryomancer,https://cards.scryfall.io/normal/front/8/3/838b0efb-7398-4df9-8fdf-b8af43b47938.jpg?1789014637
Way of the Healer,White,{3}{W},4,Uncommon,Legendary Enchantment,,,2.5,https://scryfall.com/card/fra/207/way-of-the-healer,https://cards.scryfall.io/normal/front/5/0/50326a2a-7e10-464b-a97e-e880bda0558c.jpg?1789729503
Way of the Warlord,Red,{2}{R},3,Uncommon,Legendary Enchantment,,,2.5,https://scryfall.com/card/fra/255/way-of-the-warlord,https://cards.scryfall.io/normal/front/6/d/6d86e410-20c4-4248-96bf-5780ece6274a.jpg?1789729585
Woodwork Prodigy // Soul Tether,Multicolor (Red/Green),{2}{R/G},3,Uncommon,Creature — Cat Druid,3,3,2.5,https://scryfall.com/card/fra/165/woodwork-prodigy-soul-tether,https://cards.scryfall.io/normal/front/7/d/7d17f7e3-7b63-4674-9024-4fd1827f40ec.jpg?1788329429
"Yoshimaru, Scrappy Stray",Green,{1}{G},2,Uncommon,Legendary Creature — Dog,1,1,2.5,https://scryfall.com/card/fra/269/yoshimaru-scrappy-stray,https://cards.scryfall.io/normal/front/b/8/b8dfd087-2434-42c6-ac4c-1decbcdde2db.jpg?1789470909
Apex Witchstalker,Black,{4}{B}{B},6,Common,Creature — Wolf,6,4,2.0,https://scryfall.com/card/fra/48/apex-witchstalker,https://cards.scryfall.io/normal/front/c/d/cd56f047-6bdc-4e83-8a7c-923ebad26302.jpg?1789556710
Arcane Amphisbaena,Green,{1}{G},2,Common,Creature — Snake,1,1,2.0,https://scryfall.com/card/fra/97/arcane-amphisbaena,https://cards.scryfall.io/normal/front/1/b/1bf923c4-f0b7-4271-978c-fd2e79fe1cc8.jpg?1788878190
Archive Arbiter,Colorless,{6},6,Uncommon,Artifact Creature — Sphinx,4,4,2.0,https://scryfall.com/card/fra/167/archive-arbiter,https://cards.scryfall.io/normal/front/0/2/024bce1e-a5f3-4292-bc17-d0355a5d65e1.jpg?1789614867
"Arni, Renowned Champion",Red,{3}{R},4,Uncommon,Legendary Creature — Human Berserker,1,5,2.0,https://scryfall.com/card/fra/243/arni-renowned-champion,https://cards.scryfall.io/normal/front/b/d/bd8db649-1dba-457d-8327-e1f1da1aab36.jpg?1789557035
Artifist Acumen,Red,{R},1,Common,Sorcery,,,2.0,https://scryfall.com/card/fra/73/artifist-acumen,https://cards.scryfall.io/normal/front/7/d/7d3b720d-f27c-462a-8f80-15748e5086e1.jpg?1789729762
Blossom-Blessed Angel // Seed Suture,White,{3}{W},4,Common,Creature — Angel Cleric,2,4,2.0,https://scryfall.com/card/fra/3/blossom-blessed-angel-seed-suture,https://cards.scryfall.io/normal/front/5/e/5e77fbf0-9d1f-4e7d-a02e-43065d11b0d9.jpg?1789692643
Budding Insurgent,Green,{2}{G},3,Common,Creature — Dryad Scout,3,3,2.0,https://scryfall.com/card/fra/99/budding-insurgent,https://cards.scryfall.io/normal/front/1/8/18c59d60-2640-4576-9375-3ba38aa3ecb7.jpg?1789127120
Campus Crier,White,{1}{W},2,Common,Creature — Human Advisor,3,1,2.0,https://scryfall.com/card/fra/4/campus-crier,https://cards.scryfall.io/normal/front/6/0/6047b14c-91d5-4f8e-af3f-057a541e2546.jpg?1788878120
Chandra's Emberling,Red,{2}{R},3,Common,Creature — Gremlin Elemental,2,2,2.0,https://scryfall.com/card/fra/76/chandras-emberling,https://cards.scryfall.io/normal/front/3/a/3a64c5f4-9cfc-4d19-bd99-13d619b1aa9d.jpg?1789385708
"Danitha, Spear of Agony",Black,{2}{B},3,Uncommon,Legendary Creature — Human Knight,2,2,2.0,https://scryfall.com/card/fra/227/danitha-spear-of-agony,https://cards.scryfall.io/normal/front/6/4/6489814b-3d10-423e-988c-324740d36748.jpg?1789127194
Dark Matter Manipulator,Black,{B},1,Rare,Creature — Human Warlock,1,2,2.0,https://scryfall.com/card/fra/52/dark-matter-manipulator,https://cards.scryfall.io/normal/front/4/e/4ec912d5-cbe7-4d07-9ece-b03ac02d3055.jpg?1789385959
Divining Duelist,Blue,{2}{U},3,Common,Creature — Merfolk Wizard,3,2,2.0,https://scryfall.com/card/fra/29/divining-duelist,https://cards.scryfall.io/normal/front/9/6/960c7335-331d-488b-be68-2ad1c1c695dc.jpg?1789556709
Fatehold Chronologist // Peer Review,Multicolor (White/Blue),{1}{W/U},2,Common,Creature — Bird Wizard,1,2,2.0,https://scryfall.com/card/fra/133/fatehold-chronologist-peer-review,https://cards.scryfall.io/normal/front/2/9/29e7ec16-0c16-48aa-8e09-ce6e0d5bd40b.jpg?1789060173
Geist of Saint Thalia,Blue,{1}{U},2,Uncommon,Legendary Creature — Spirit Cleric,1,2,2.0,https://scryfall.com/card/fra/214/geist-of-saint-thalia,https://cards.scryfall.io/normal/front/9/c/9c334530-0880-46b5-a358-9603eee3cecf.jpg?1789128026
Ghalta the Unstoppable,Green,{8}{G},9,Uncommon,Legendary Creature — Elder Dinosaur,8,8,2.0,https://scryfall.com/card/fra/260/ghalta-the-unstoppable,https://cards.scryfall.io/normal/front/1/d/1d535b5f-c916-4f16-89a7-9477578826d2.jpg?1788878290
Greenhouse Propagator,Green,{2}{G},3,Common,Creature — Cat Druid,2,3,2.0,https://scryfall.com/card/fra/104/greenhouse-propagator,https://cards.scryfall.io/normal/front/a/5/a56e0f91-b128-4693-a949-53cb403f4fbf.jpg?1789127136
Heartstring Puller,Red,{3}{R},4,Common,Creature — Elf Sorcerer,3,1,2.0,https://scryfall.com/card/fra/86/heartstring-puller,https://cards.scryfall.io/normal/front/c/b/cbfe3354-7ced-4773-9a4e-a937ae9f94f8.jpg?1789556808
Heartwood Crafter // Soul Tether,Green,{G},1,Uncommon,Creature — Elf Artificer,1,1,2.0,https://scryfall.com/card/fra/105/heartwood-crafter-soul-tether,https://cards.scryfall.io/normal/front/9/1/910a1f41-17fd-4ab0-9597-7151e79dc760.jpg?1789127630
Icy Reception,Blue,{1}{U},2,Common,Instant,,,2.0,https://scryfall.com/card/fra/30/icy-reception,https://cards.scryfall.io/normal/front/8/d/8d754b96-5e44-45af-9c7a-b0da59fbe4c3.jpg?1788779540
Kiora of Salt and Sand,Multicolor (Blue/Green),{1}{G}{U},3,Uncommon,Legendary Creature — Merfolk Noble,2,4,2.0,https://scryfall.com/card/fra/273/kiora-of-salt-and-sand,https://cards.scryfall.io/normal/front/8/1/8151f5f5-e9f6-4fbe-b543-f456ebf22aa5.jpg?1789127745
Konstrari Charm,Multicolor (Red/Green),{R}{G},2,Uncommon,Instant,,,2.0,https://scryfall.com/card/fra/138/konstrari-charm,https://cards.scryfall.io/normal/front/7/d/7d29dfa1-9582-47bc-8f42-62b611bdcc4e.jpg?1789127645
Konstrari Improviser // Soul Tether,Multicolor (Red/Green),{1}{R/G},2,Common,Creature — Human Artificer,2,2,2.0,https://scryfall.com/card/fra/139/konstrari-improviser-soul-tether,https://cards.scryfall.io/normal/front/4/2/42e28bd2-486b-45d4-8840-6e33c19c2d57.jpg?1789556881
"Mabel, Bitter Recluse",Black,{B},1,Uncommon,Legendary Creature — Mouse Warlock,1,1,2.0,https://scryfall.com/card/fra/233/mabel-bitter-recluse,https://cards.scryfall.io/normal/front/b/2/b2a412b0-2ae4-4552-bc5e-70654b6b9b4e.jpg?1789385677
"Marwyn, the Preserver",Green,{1}{G},2,Uncommon,Legendary Creature — Elf Druid,3,2,2.0,https://scryfall.com/card/fra/263/marwyn-the-preserver,https://cards.scryfall.io/normal/front/9/0/90f33f99-7bc5-42e1-815e-bfb4c2b74107.jpg?1789644564
Perfected Theory,Blue,{U},1,Uncommon,Instant,,,2.0,https://scryfall.com/card/fra/34/perfected-theory,https://cards.scryfall.io/normal/front/d/0/d0ecae06-bc5a-4886-84df-c2900816f226.jpg?1788329222
Pompous Battlemage // Improvised Act,Red,{R},1,Rare,Creature — Goblin Sorcerer,1,1,2.0,https://scryfall.com/card/fra/90/pompous-battlemage-improvised-act,https://cards.scryfall.io/normal/front/a/a/aa0f77ac-741a-444a-8bf0-a42c644726bf.jpg?1788878186
"Proft, Sinister Mastermind",Black,{2}{B},3,Uncommon,Legendary Creature — Human Rogue,5,5,2.0,https://scryfall.com/card/fra/235/proft-sinister-mastermind,https://cards.scryfall.io/normal/front/d/3/d36b0e06-cb82-4c48-bf35-e76f109116f6.jpg?1789127196
Prophesied End,White,{1}{W},2,Uncommon,Instant,,,2.0,https://scryfall.com/card/fra/17/prophesied-end,https://cards.scryfall.io/normal/front/1/f/1f95399a-9766-4f3d-aa6a-ece55e0530d9.jpg?1788951920
Protege's Awakening,Blue,{3}{U},4,Common,Sorcery,,,2.0,https://scryfall.com/card/fra/37/proteges-awakening,https://cards.scryfall.io/normal/front/a/0/a08c7ec2-4c6a-4db2-85a7-41afe8731523.jpg?1788878176
Prudent Fateseer // Peer Review,Multicolor (White/Blue),{1}{W/U}{W/U},3,Uncommon,Creature — Dwarf Wizard,1,4,2.0,https://scryfall.com/card/fra/146/prudent-fateseer-peer-review,https://cards.scryfall.io/normal/front/6/c/6c1c790b-9e0e-4964-9ea3-554843907f06.jpg?1788329412
Rank Rat,Black,{1}{B},2,Common,Creature — Zombie Rat,1,1,2.0,https://scryfall.com/card/fra/61/rank-rat,https://cards.scryfall.io/normal/front/4/f/4ff6da82-d7dd-4b59-b7e6-30670cea7169.jpg?1789556727
Restore with Empathy,Green,{2}{G},3,Uncommon,Instant,,,2.0,https://scryfall.com/card/fra/112/restore-with-empathy,https://cards.scryfall.io/normal/front/3/5/3546b93b-a7d1-451d-a369-22cc8ddcd00d.jpg?1788865848
"Samut, Tyrant of Naktamun",Blue,{1}{U},2,Rare,Legendary Creature — Human Wizard,2,1,2.0,https://scryfall.com/card/fra/220/samut-tyrant-of-naktamun,https://cards.scryfall.io/normal/front/6/d/6d7d8fa7-ce69-4a8c-9af0-55571393a244.jpg?1789729644
Screeching Soulbreaker,Black,{2}{B},3,Common,Creature — Siren Bard,1,4,2.0,https://scryfall.com/card/fra/65/screeching-soulbreaker,https://cards.scryfall.io/normal/front/7/3/738667a1-c184-43ea-829f-49fbb69b6fc0.jpg?1789385960
Semester Foreseer // Peer Review,Blue,{3}{U},4,Common,Creature — Human Wizard,3,4,2.0,https://scryfall.com/card/fra/39/semester-foreseer-peer-review,https://cards.scryfall.io/normal/front/7/e/7e5a640b-fd88-4b5a-9dfc-1d8f5a5cef41.jpg?1789127516
Shatterwing Pegasus,White,{2}{W},3,Common,Creature — Pegasus,2,3,2.0,https://scryfall.com/card/fra/21/shatterwing-pegasus,https://cards.scryfall.io/normal/front/e/2/e29095de-59ec-4562-ba8e-73f952e457ae.jpg?1789385580
Silence the Echo,Black,{1}{B},2,Common,Sorcery,,,2.0,https://scryfall.com/card/fra/66/silence-the-echo,https://cards.scryfall.io/normal/front/f/1/f1d274db-751b-4414-a38d-762198168e91.jpg?1789385640
Skilled Battlecarver,Red,{1}{R},2,Common,Creature — Human Warrior,2,1,2.0,https://scryfall.com/card/fra/92/skilled-battlecarver,https://cards.scryfall.io/normal/front/0/e/0e44f959-1322-4abd-b6eb-dea992307c0c.jpg?1789556811
Something Worth Saving,Green,{1}{G},2,Common,Instant,,,2.0,https://scryfall.com/card/fra/114/something-worth-saving,https://cards.scryfall.io/normal/front/0/2/02ee7817-40af-4fcf-a2df-eb218b669281.jpg?1788878199
Sureshot Sower,Green,{1}{G},2,Common,Creature — Human Archer,3,1,2.0,https://scryfall.com/card/fra/115/sureshot-sower,https://cards.scryfall.io/normal/front/b/6/b635389c-e286-4edb-80d1-23dbe4a18857.jpg?1789614751
Surveillance Phantasm,Blue,{1}{U},2,Common,Creature — Bird Illusion,2,3,2.0,https://scryfall.com/card/fra/42/surveillance-phantasm,https://cards.scryfall.io/normal/front/9/d/9df8a06d-c7de-49af-8c01-06dca3dfef4b.jpg?1789385597
Theorix Metamage // Omit Variables,Multicolor (Blue/Black),{2}{U/B},3,Common,Creature — Shade Wizard,2,3,2.0,https://scryfall.com/card/fra/156/theorix-metamage-omit-variables,https://cards.scryfall.io/normal/front/f/b/fb6bad96-841d-4738-8e62-92f346f914fd.jpg?1789556930
"Tinybones, Pocket Nuisance",Black,{2}{B},3,Uncommon,Legendary Creature — Skeleton Rogue,2,1,2.0,https://scryfall.com/card/fra/237/tinybones-pocket-nuisance,https://cards.scryfall.io/normal/front/2/f/2f47ddf7-35b6-4205-8045-f057914c5f64.jpg?1788329294
"Titanbones, Towering Heart",Green,{3}{G},4,Uncommon,Legendary Creature — Skeleton Druid,4,3,2.0,https://scryfall.com/card/fra/266/titanbones-towering-heart,https://cards.scryfall.io/normal/front/e/d/edea6f70-a5a7-475d-b7f2-97933d0f32cf.jpg?1788329375
"Traxos, Scourge Eternal",Colorless,{4},4,Uncommon,Legendary Artifact Creature — Dragon Construct,5,4,2.0,https://scryfall.com/card/fra/280/traxos-scourge-eternal,https://cards.scryfall.io/normal/front/0/5/05102c46-96f8-44a0-a1e6-e388fa5e0841.jpg?1789557046
Twinned Vision,Multicolor (Blue/Red),{1}{U/R},2,Common,Instant,,,2.0,https://scryfall.com/card/fra/157/twinned-vision,https://cards.scryfall.io/normal/front/5/5/55f85984-0137-4899-8993-bbc8c4794d33.jpg?1789556940
Undulating Witness,Blue,{4}{U},5,Common,Creature — Serpent,3,5,2.0,https://scryfall.com/card/fra/45/undulating-witness,https://cards.scryfall.io/normal/front/0/a/0adbb4b2-a142-48da-8f4b-fa91529dbac4.jpg?1789556706
Unflinching Hortimancer,White,{1}{W},2,Common,Creature — Human Cleric,2,1,2.0,https://scryfall.com/card/fra/23/unflinching-hortimancer,https://cards.scryfall.io/normal/front/6/3/63f82985-c9c2-4d0a-ac4f-560166bebd9f.jpg?1789556741
Unsummon,Blue,{U},1,Common,Instant,,,2.0,https://scryfall.com/card/fra/46/unsummon,https://cards.scryfall.io/normal/front/d/d/ddad9f16-52d5-49de-82b0-b1a5294a9c44.jpg?1789556722
Variable Chaser // Arc of Fortune,Blue,{2}{U},3,Rare,Creature — Human Wizard,2,3,2.0,https://scryfall.com/card/fra/47/variable-chaser-arc-of-fortune,https://cards.scryfall.io/normal/front/e/3/e3afedb1-bf9d-4e31-9700-433514cc29b1.jpg?1789470807
Vinelasher Adept,Green,{4}{G}{G},6,Common,Creature — Rhino Soldier,2,4,2.0,https://scryfall.com/card/fra/119/vinelasher-adept,https://cards.scryfall.io/normal/front/e/5/e5ed142b-2b61-4ef5-8b23-2db2a0a0319d.jpg?1789556814
Warrior's Blades,Multicolor (White/Red),{2}{R}{W},4,Uncommon,Artifact — Equipment,,,2.0,https://scryfall.com/card/fra/163/warriors-blades,https://cards.scryfall.io/normal/front/c/6/c63d5b0e-ee72-42ed-aa7e-484ba84507cd.jpg?1789007648
"Yuriko, Blade of the Mighty",White,{3}{W},4,Uncommon,Legendary Creature — Human Samurai,2,3,2.0,https://scryfall.com/card/fra/210/yuriko-blade-of-the-mighty,https://cards.scryfall.io/normal/front/c/c/ccbe92a5-42bc-4228-9d5a-212df2f5dc15.jpg?1789128047
"Yuriko, Hope from the Shadows",Blue,{U},1,Uncommon,Legendary Creature — Human Ninja,1,1,2.0,https://scryfall.com/card/fra/226/yuriko-hope-from-the-shadows,https://cards.scryfall.io/normal/front/4/5/45e81487-8b8c-480b-922a-eaa9edc7201d.jpg?1789127717
Academic Ascent,White,{1}{W},2,Common,Instant,,,1.5,https://scryfall.com/card/fra/2/academic-ascent,https://cards.scryfall.io/normal/front/7/3/730d8c28-1e58-4b8e-89e9-445d154d2e83.jpg?1788878081
