Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,Loyalty,Layout,Second Half,Second Half Cost,Second Half Type,J2SJosh Rating,Rating Note,J2SJosh Commentary,Source Section,Source Article,Collector Number,Scryfall URL,Image URL,Scryfall ID
Screeching Soulbreaker,Screeching Soulbreaker,Black,B,B,{2}{B},3,Common,Creature — Siren Bard,1,4,,normal,,,,2.0,,"Do you have a bunch of cards that trigger off gaining life? If so, this can become a key enabler and I’d draft it more like a 2.5. The same applies if you have a bunch of cards that care about noncombat damage.

It’s still perfectly playable in the average deck, but it just won’t be doing nearly as much heavy lifting without those synergies around it.

The baseline is perfectly fine. The real value comes when the rest of your deck actually cares about what this card is doing.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,65,https://scryfall.com/card/fra/65/screeching-soulbreaker,https://cards.scryfall.io/normal/front/7/3/738667a1-c184-43ea-829f-49fbb69b6fc0.jpg?1789385960,738667a1-c184-43ea-829f-49fbb69b6fc0
Silence the Echo,Silence the Echo,Black,B,B,{1}{B},2,Common,Sorcery,,,,normal,,,,2.0,,"Five mana at sorcery speed is an awful lot to be paying for a removal spell in this economy.

Even the discounted rate is two mana, and we just had Stir Up Trouble doing something similar for one mana with a bunch of easily sacrificed artifacts floating around to fuel it. You’re far less likely to have an extra planeswalker just chilling on the battlefield that you don’t mind tossing away. Even with Jace tokens getting thrown around, those still have plenty of value on their own.

It’s still removal, so I’m not completely out on it, but the rate and setup leave a lot to be desired.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,66,https://scryfall.com/card/fra/66/silence-the-echo,https://cards.scryfall.io/normal/front/f/1/f1d274db-751b-4414-a38d-762198168e91.jpg?1789385640,f1d274db-751b-4414-a38d-762198168e91
Solve for Disappointment,Solve for Disappointment,Black,B,B,{1}{B},2,Common,Sorcery,,,,normal,,,,1.5,,"I originally wasn’t going to be disappointed in this card because I missed the part about permanent. Once it increased the chance of whiffing, I plan to only play this when I absolutely have to.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,67,https://scryfall.com/card/fra/67/solve-for-disappointment,https://cards.scryfall.io/normal/front/7/b/7beaa8c9-1a2c-4c88-b579-91e371d8d9e3.jpg?1788878155,7beaa8c9-1a2c-4c88-b579-91e371d8d9e3
Terminal Criticism,Terminal Criticism,Black,B,B,{1}{B},2,Uncommon,Instant,,,,normal,,,,0.5,,"You’re going to get criticized pretty hard if you’re running something this narrow in your main deck.

As a sideboard card, though, it can be absolutely brutal when the matchup lines up. That makes it a great tool in traditional Limited, but if you’re living in Bo1 land, you can basically pretend this card doesn’t exist.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,68,https://scryfall.com/card/fra/68/terminal-criticism,https://cards.scryfall.io/normal/front/7/e/7ebd7e38-b27c-4c6e-aaea-e8ee5ba5e5df.jpg?1789470810,7ebd7e38-b27c-4c6e-aaea-e8ee5ba5e5df
Theoretical Necromancer,Theoretical Necromancer,Black,B,B,{2}{B},3,Common,Creature — Vampire Warlock,4,1,,normal,,,,1.5,,"They had a theory of a plan, and eventually decided becoming a necromancer was the right career choice. Clearly, things have not gone especially well.

This would be an amazing card if it actually Reanimated something instead of just giving you a glorified Raise Dead. As printed, it’s fine, but definitely not exciting.

It gets noticeably better if your deck has self-mill or looting effects to drop this in the graveyard, but even then, it’s a little too expensive for what you’re actually getting.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,69,https://scryfall.com/card/fra/69/theoretical-necromancer,https://cards.scryfall.io/normal/front/e/3/e36a7908-1e22-494b-adb4-e72ac0974d62.jpg?1789556734,e36a7908-1e22-494b-adb4-e72ac0974d62
Void Extrapolator // Omit Variables,Void Extrapolator,Black,B,UB,{1}{B},2,Common,Creature — Aetherborn Warlock,2,2,,prepare,Omit Variables,{U/B},Sorcery,1.5,,"I feel like this really needed something like menace once you hit Threshold. It can be a key card in Dimir builds, but struggle elsewhere.

A potential 3/3 for two mana is certainly respectable, and you can usually find a spot to sneak in the extra mana for the mill ability. The problem is that you’re still asking your deck to put in a decent amount of work before this becomes anything more than mediocre.

There’s some upside here, but I want a lot of graveyard synergy before I’m interested.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,70,https://scryfall.com/card/fra/70/void-extrapolator-omit-variables,https://cards.scryfall.io/normal/front/0/e/0eae2efb-bf25-48ee-9c07-9098008110ad.jpg?1789556787,0eae2efb-bf25-48ee-9c07-9098008110ad
Vraska's Final Mercy,Vraska's Final Mercy,Black,B,B,{B}{B},2,Rare,Sorcery,,,,normal,,,,3.0,,"Two mana and two life to kill a creature is a solid deal, even if it is at sorcery speed.

The other half is basically a Sign in Blood where you have to wait around for the second card. That’s not an awful fallback plan, but this is almost always going to be used as the removal spell.

I’d easily bump this up to a 3.5 if it were an instant or if one of those black pips got swapped for a generic mana.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,71,https://scryfall.com/card/fra/71/vraskas-final-mercy,https://cards.scryfall.io/normal/front/9/9/992bd991-7cfb-459f-bafd-9a44f3c925c5.jpg?1789699369,992bd991-7cfb-459f-bafd-9a44f3c925c5
Ajani's Anguish,Ajani's Anguish,Red,R,R,{X}{R},1,Rare,Enchantment,,,,normal,,,,4.0,,"This probably looks a little high because an X-spell that deals damage to any target isn’t remotely as terrifying as it was back in the day. I promise I haven’t completely lost the plot, though. The flexibility to either clear out a blocker or just dome your opponent is still incredibly valuable.

The part that really pushes it for me is that it sticks around afterward and gives your creatures trample. That combination makes closing out the game a helluva lot easier because suddenly all those random chump blockers aren’t buying nearly as much time.

I also have a feeling the data on this card is going to look noticeably worse than how it actually plays. Cards that force you to decide between firing them off aggressively or diamond-handing them for the perfect moment tend to get butchered by average players.

The card is powerful. The hard part is knowing when to pull the trigger.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,72,https://scryfall.com/card/fra/72/ajanis-anguish,https://cards.scryfall.io/normal/front/d/9/d9039a58-2f17-4b8a-b714-3a2f0b46f057.jpg?1789470674,d9039a58-2f17-4b8a-b714-3a2f0b46f057
Artifist Acumen,Artifist Acumen,Red,R,R,{R},1,Common,Sorcery,,,,normal,,,,2.0,,"This can fill a pretty useful role whether you’re in a spells deck looking for cheap triggers or an aggressive deck that doesn’t mind cashing it in for a little extra oomph in combat.

It’s never going to be a card you’re fighting people for early in the draft, but I think it’ll quietly do more work than it looks like it should.

Not exciting. Not embarrassing. Just a useful little piece of cardboard that knows its job.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,73,https://scryfall.com/card/fra/73/artifist-acumen,https://cards.scryfall.io/normal/front/7/d/7d3b720d-f27c-462a-8f80-15748e5086e1.jpg?1789729762,7d3b720d-f27c-462a-8f80-15748e5086e1
Awaken the Inferno,Awaken the Inferno,Red,R,R,{4}{R},5,Common,Sorcery,,,,normal,,,,2.5,,"The base spell would be actively good at four mana, but it’s still perfectly reasonable at five.

The real thing helping it out is basic landcycling, which is usually worth about half a point by itself. Early on, it can bail you out of a sketchy hand or fix your colors, and later you can just cast the actual spell.

That kind of flexibility does a lot of work for an otherwise fairly ordinary five-mana card.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,74,https://scryfall.com/card/fra/74/awaken-the-inferno,https://cards.scryfall.io/normal/front/c/5/c596c4ec-8480-4be9-a45d-700398a126f6.jpg?1789556812,c596c4ec-8480-4be9-a45d-700398a126f6
Blazing Crescendo,Blazing Crescendo,Red,R,R,{1}{R},2,Common,Instant,,,,normal,,,,1.5,,"We’ve seen this card before, and it has always ended up as pretty middling filler.

The idea of a two-mana combat trick that replaces itself sounds great, but only getting to play the exiled card until your next turn makes things awkward. You’re often hesitant to fire this off early because there’s a real chance you won’t have the mana or opportunity to actually cash in on the extra card.

It also only adds one toughness, so the math has to line up pretty perfectly for it to actually save a creature in combat.

There’s enough here that I’ll play it when I need a trick, but I’m never going to be excited about it.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,75,https://scryfall.com/card/fra/75/blazing-crescendo,https://cards.scryfall.io/normal/front/8/4/8414a98c-0c79-4884-bc9b-061a6456b392.jpg?1789060147,8414a98c-0c79-4884-bc9b-061a6456b392
Chandra's Emberling,Chandra's Emberling,Red,R,R,{2}{R},3,Common,Creature — Gremlin Elemental,2,2,,normal,,,,2.0,,"This can grow pretty quickly in the right deck, and there are definitely going to be builds where you draft it more like a premium common.

You can almost look at the ability like a mini combat trick that’s already sitting on the battlefield. That makes blocking it super awkward because your opponent has to account for it suddenly getting bigger at the worst possible time.

The baseline is fine, but the right deck can push this well above the 2.0 grade.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,76,https://scryfall.com/card/fra/76/chandras-emberling,https://cards.scryfall.io/normal/front/3/a/3a64c5f4-9cfc-4d19-bd99-13d619b1aa9d.jpg?1789385708,3a64c5f4-9cfc-4d19-bd99-13d619b1aa9d
Command the Stage,Command the Stage,Red,R,R,{2}{R},3,Uncommon,Sorcery,,,,normal,,,,2.5,,"A 3/3 for three that pumps all of your other Wizard tokens is already a reasonable card on its own. Unfortunately this only pumps your OTHER wizard tokens so you’re only getting a 2/2 out of the deal.

The moment you bring this back once, though, we’re getting dangerously close to good. Anything beyond that starts wandering into excellent territory.

Suddenly all of those random drains from cards like Extended Absence are looking a whole lot more interesting. If your deck has enough ways to keep triggering this, Command the Stage can turn into one hell of an encore.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,77,https://scryfall.com/card/fra/77/command-the-stage,https://cards.scryfall.io/normal/front/f/3/f3307da2-6dad-4ef2-9614-a7d34f38088e.jpg?1789644825,f3307da2-6dad-4ef2-9614-a7d34f38088e
Craterclaw Colossus,Craterclaw Colossus,Red,R,R,{4}{R}{R}{R},7,Mythic,Artifact Creature — Beast Construct,5,5,,normal,,,,3.5,,"This is certainly no Craterhoof Behemoth, even if it does have some real potential in a deck that can flood the board with cheap artifacts and Heartwood tokens. That pretty firmly puts its best home in Gruul.

If you can consistently set that up, there’s something here. If not, this thing is just way too expensive, and the triple red certainly isn’t doing it any favors.

Taking it early at least gives you the opportunity to build around it, which is probably the best way to maximize what this card is capable of doing.

I also wouldn’t be surprised if the data ends up looking worse than the card actually is. This feels like exactly the kind of card people are going to jam into decks that have no business playing it just because the ceiling looks exciting.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,78,https://scryfall.com/card/fra/78/craterclaw-colossus,https://cards.scryfall.io/normal/front/4/7/47793a51-08c6-4ad2-a7e5-a4484d83a5cd.jpg?1788329298,47793a51-08c6-4ad2-a7e5-a4484d83a5cd
Curse-Marred Demon,Curse-Marred Demon,Red,R,R,{2}{R}{R},4,Rare,Creature — Demon,4,4,,normal,,,,4.0,,"A 4/4 flying trample creature for four mana is still an absurdly efficient rate and something I’m basically never cutting.

The Gamble effect is just bonus upside that will occasionally pay off in a huge way. Sure, sometimes the random discard is going to kick you directly in the teeth, but you were already getting a great creature before any of that nonsense.

Little hint: if you’re empty-handed, go grab something that can still generate value from the graveyard. Worst case, you can always grab a land and get it out of the way.

Great body, real upside, and just enough gambling to keep things interesting.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,79,https://scryfall.com/card/fra/79/curse-marred-demon,https://cards.scryfall.io/normal/front/8/f/8f827e50-0a08-4bc8-98b1-b26c9af15ef2.jpg?1789470818,8f827e50-0a08-4bc8-98b1-b26c9af15ef2
Draconic Visitor,Draconic Visitor,Red,R,R,{3}{R}{R},5,Rare,Creature — Dragon,5,5,,normal,,,,4.0,,"Another beefy flying rare with a pile of upside stapled onto it. Apparently Dragons showing up and just being huge isn’t enough anymore.

There aren’t a ton of Treasure or Food generators floating around to really abuse the ability, but turning your random Heartwood tokens into fresh Dragons is one hell of an upgrade.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,80,https://scryfall.com/card/fra/80/draconic-visitor,https://cards.scryfall.io/normal/front/1/1/112f8478-bd89-4a14-9721-8ab750613129.jpg?1789470842,112f8478-bd89-4a14-9721-8ab750613129
Eardrum Rattler,Eardrum Rattler,Red,R,R,{1}{R},2,Common,Creature — Human Bard,2,2,,normal,,,,1.5,,"This type of card has been a low-end playable in formats a lot less powerful than this one.

I’m not going to blow out your eardrums babbling about it, though, because this is never going to be more than curve filler. You’ll play it when you need something to fill the slot, and you’ll cut it the second you find something better.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,81,https://scryfall.com/card/fra/81/eardrum-rattler,https://cards.scryfall.io/normal/front/5/f/5f8771f9-8128-4818-a11d-41ea368cf697.jpg?1789127173,5f8771f9-8128-4818-a11d-41ea368cf697
Essence Burn,Essence Burn,Red,R,R,{1}{R},2,Uncommon,Instant,,,,normal,,,,0.5,,"There’s one of these in every color, so I feel like I’m starting to repeat myself.

You’re usually going to get burned if you put this in your main deck, but it can be a fantastic sideboard card when the matchup lines up.

Draft it, stash it on the bench, and bring it in when it actually has something worth setting on fire.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,82,https://scryfall.com/card/fra/82/essence-burn,https://cards.scryfall.io/normal/front/d/2/d2e958de-70de-4156-8f9b-b2c0c1ba704a.jpg?1789470825,d2e958de-70de-4156-8f9b-b2c0c1ba704a
Face Yourself,Face Yourself,Red,R,R,{5}{R}{R},7,Rare,Sorcery,,,,normal,,,,3.0,,"This is going to have a massive delta in how well it performs from game to game.

There are going to be times where it ends the game on the spot. There are going to be times where it drags you back into a game you had absolutely no business winning. And then there are going to be times where you pay seven mana to make a couple of creatures that disappear at the end of the turn.

The ceiling is enormous, but the floor is low enough that I’m not ready to push it any higher than this.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,83,https://scryfall.com/card/fra/83/face-yourself,https://cards.scryfall.io/normal/front/3/c/3ccf8f64-19bd-4fdf-b70a-30a042bacf2f.jpg?1789127528,3ccf8f64-19bd-4fdf-b70a-30a042bacf2f
Fulminous Forte,Fulminous Forte,Red,R,R,{2}{R},3,Uncommon,Instant,,,,normal,,,,3.5,,"This would already be a 3.0 if all it did was deal five damage for three mana. That’s just a damn good rate.

What pushes it higher is having the option to ping their entire side for one at instant speed. That’s the kind of mode that can sit quietly in your pocket until your opponent walks straight into a blowout.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,84,https://scryfall.com/card/fra/84/fulminous-forte,https://cards.scryfall.io/normal/front/1/9/19acb2b5-3b3e-43f0-bd81-8426ed3d9c55.jpg?1789614832,19acb2b5-3b3e-43f0-bd81-8426ed3d9c55
Hallway Heckler // Vicious Verse,Hallway Heckler,Red,R,BR,{2}{R},3,Common,Creature — Elemental Sorcerer,2,3,,prepare,Vicious Verse,{B/R},Sorcery,1.5,,"You might get heckled for playing this guy too often.

A three-mana rummager is perfectly fine, but without something like Madness around, it’s not doing anything especially exciting. The random point of damage will occasionally matter, and it’ll be hilarious when it actually finishes someone off, but most of the time it’s going to be pretty arbitrary.

This is functional curve filler with a little utility attached, nothing more.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,85,https://scryfall.com/card/fra/85/hallway-heckler-vicious-verse,https://cards.scryfall.io/normal/front/7/e/7e324816-552f-455d-97c4-5ea6b26d2e6e.jpg?1789127576,7e324816-552f-455d-97c4-5ea6b26d2e6e
Heartstring Puller,Heartstring Puller,Red,R,R,{3}{R},4,Common,Creature — Elf Sorcerer,3,1,,normal,,,,2.0,,"Creatures that give you two bodies for a reasonable rate tend to pull on my heartstrings, and this one is no different.

It feels like a minor upgrade over the usual version of this effect thanks to the three-power trampler and the potential Wizard token synergies floating around the set.

Nothing here is going to blow you away, but getting multiple bodies with a little extra upside is exactly the kind of filler I’m perfectly happy running.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,86,https://scryfall.com/card/fra/86/heartstring-puller,https://cards.scryfall.io/normal/front/c/b/cbfe3354-7ced-4773-9a4e-a937ae9f94f8.jpg?1789556808,cbfe3354-7ced-4773-9a4e-a937ae9f94f8
Identity Echo,Identity Echo,Red,R,R,{2}{R},3,Rare,Enchantment,,,,normal,,,,0.5,,"Maybe you can board this in against someone who showed you a ton of enchantment removal, but even then, I’m pretty sure you can find something better to do with the slot.

This has Constructed plant written all over it. Leave it there.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,87,https://scryfall.com/card/fra/87/identity-echo,https://cards.scryfall.io/normal/front/e/6/e600b33b-8916-43dd-95d3-d7cbf874933d.jpg?1789385968,e600b33b-8916-43dd-95d3-d7cbf874933d
Master of Barbs,Master of Barbs,Red,R,R,{1}{R},2,Rare,Creature — Lizard Bard,2,1,,normal,,,,2.5,,"A two-power menace creature with a little bit of upside is certainly worth playing in an aggressive deck.

You’re probably not going to be Lightning Bolting your opponent’s face like this is Constructed, but there are still plenty of ways to trigger the ability. Something like Screeching Soulbreaker can suddenly turn into a team-wide pump effect, which gives this a little more reach than it first appears.

The baseline is already playable, and the right deck can squeeze some real value out of the bonus.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,88,https://scryfall.com/card/fra/88/master-of-barbs,https://cards.scryfall.io/normal/front/4/4/4404d9d4-9cdd-4dad-a4f6-574d90db5052.jpg?1789127596,4404d9d4-9cdd-4dad-a4f6-574d90db5052
No Admittance,No Admittance,Red,R,R,{1}{R},2,Common,Sorcery,,,,normal,,,,3.5,,"This might seem a little high to some people, but stapling surveil onto an already efficient two-mana removal spell is pretty big game.

Cheap removal is always valuable, and getting to smooth out your next draw or help fuel graveyard synergies at the same time is exactly the kind of small bonus that adds up over a draft.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,89,https://scryfall.com/card/fra/89/no-admittance,https://cards.scryfall.io/normal/front/1/1/11ba4fdd-cc03-4bb6-a493-91a9785771d0.jpg?1788878170,11ba4fdd-cc03-4bb6-a493-91a9785771d0
Pompous Battlemage // Improvised Act,Pompous Battlemage,Red,R,R,{R},1,Rare,Creature — Goblin Sorcerer,1,1,,prepare,Improvised Act,{R},Sorcery,2.0,,"This feels like another card designed primarily for Constructed that just happens to have a minor role in Limited.

A 1/1 prowess creature for one can range from pretty meh to legitimately solid depending on the deck around it. The ability to pitch a random card for a redraw is also useful when you’re digging for a land early or trying to turn an extra one into something useful later.

It’s not exciting, but there’s enough flexibility here to make it a perfectly reasonable playable.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,90,https://scryfall.com/card/fra/90/pompous-battlemage-improvised-act,https://cards.scryfall.io/normal/front/a/a/aa0f77ac-741a-444a-8bf0-a42c644726bf.jpg?1788878186,aa0f77ac-741a-444a-8bf0-a42c644726bf
Pyre Rhymer // Molten Tide,Pyre Rhymer,Red,R,R,{1}{R}{R},3,Rare,Creature — Elemental Sorcerer,3,3,,prepare,Molten Tide,{R},Instant,2.5,,"I’m basically going to ignore the applications of the Molten Tide portion of this card because High Tide has never exactly been something you’re dying to play in a normal Limited format.

The one thing I will give that half is that it basically functions as a free spell to trigger prowess. Since it’s an instant, you don’t even have to cast it for that to matter. Just having it available can make blocking Pyre Rhymer awkward as hell because your opponent has to account for a pump at any time.

That little bit of free combat nonsense is enough to bump this up to a 2.5 for me.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,91,https://scryfall.com/card/fra/91/pyre-rhymer-molten-tide,https://cards.scryfall.io/normal/front/2/b/2b0ebea0-86de-4da4-9fe8-dacc1e75c161.jpg?1789470850,2b0ebea0-86de-4da4-9fe8-dacc1e75c161
Skilled Battlecarver,Skilled Battlecarver,Red,R,R,{1}{R},2,Common,Creature — Human Warrior,2,1,,normal,,,,2.0,,"This certainly isn’t going to do you many favors on defense, but it’s a great two-drop for an aggressive deck.

The threat of pumping a first striker is often enough to make your opponent decide blocking just isn’t worth the headache. The nice part is that you don’t even have to spend the mana unless they actually force you to, which means you can keep developing your board while Battlecarver keeps sneaking in damage.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,92,https://scryfall.com/card/fra/92/skilled-battlecarver,https://cards.scryfall.io/normal/front/0/e/0e44f959-1322-4abd-b6eb-dea992307c0c.jpg?1789556811,0e44f959-1322-4abd-b6eb-dea992307c0c
Stingcaster Mage,Stingcaster Mage,Red,R,R,{1}{R},2,Mythic,Creature — Human Wizard,2,1,,normal,,,,4.0,,"It’s really going to sting when this guy flashes back a removal spell and then immediately starts swinging.

You’d never be excited to play a plain 2/1 haste for two in a modern Limited deck, but there are absolutely situations where drawing exactly that body is still useful.

Of course, once Stingcaster starts flashing back something actually busted, now you’re cooking with gas.

This has the kind of ceiling that can completely swing a game, and the floor is still perfectly functional.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,93,https://scryfall.com/card/fra/93/stingcaster-mage,https://cards.scryfall.io/normal/front/2/d/2d8e8e5f-3bf5-490d-aa9c-9df2b26f1460.jpg?1788329303,2d8e8e5f-3bf5-490d-aa9c-9df2b26f1460
Tether Technician,Tether Technician,Red,R,R,{4}{R},5,Common,Creature — Minotaur Artificer,4,5,,normal,,,,1.5,,"Another five-drop filler creature that you can probably do better than.

That said, there are absolutely going to be games where your opponent stabilizes at two life, you rip this off the top, and suddenly this mediocre piece of curve filler looks like an absolute hero.

Most of the time, though, it’s still just a five-drop I’m hoping to replace with something better.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,94,https://scryfall.com/card/fra/94/tether-technician,https://cards.scryfall.io/normal/front/b/7/b75bbf46-a421-467a-9433-6cf22398a3a5.jpg?1789556839,b75bbf46-a421-467a-9433-6cf22398a3a5
Violent Echoes,Violent Echoes,Red,R,R,{2}{R}{R},4,Uncommon,Instant,,,,normal,,,,3.5,,"Four-mana removal isn’t what it used to be, but that equation changes in a hurry when you get to draw a card off of it.

Even when you don’t get the full value, I don’t think you’re going to complain too much about blowing up a big creature and getting a surveil out of the deal. The floor is still solid removal, and the ceiling turns it into a pretty ridiculous two-for-one.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,95,https://scryfall.com/card/fra/95/violent-echoes,https://cards.scryfall.io/normal/front/a/d/ad03ba90-2442-4a71-94df-2088b5b63662.jpg?1789127599,ad03ba90-2442-4a71-94df-2088b5b63662
Wrath of the Bloodmane,Wrath of the Bloodmane,Red,R,R,{2}{R},3,Common,Instant,,,,normal,,,,3.0,,"I guess I just really like a lot of the red removal in this set.

I’m a little lower on this one, though, even if it can potentially deal four damage for only two mana. Getting that discount requires you to have a legendary creature around, and an Empower Jace token doesn’t count.

It also doesn’t come with any extra value stapled onto it. Four damage is still four damage, so I’m happy to play it, but it’s not quite as exciting as some of the other removal options in the set.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,96,https://scryfall.com/card/fra/96/wrath-of-the-bloodmane,https://cards.scryfall.io/normal/front/b/5/b5b55617-684a-4036-be9b-a3b24fc9cd5a.jpg?1789385820,b5b55617-684a-4036-be9b-a3b24fc9cd5a
Arcane Amphisbaena,Arcane Amphisbaena,Green,G,G,{1}{G},2,Common,Creature — Snake,1,1,,normal,,,,2.0,,"A cheap deathtoucher can usually put in some work, especially when you pair it with cards like Compel Brutality. It can also just sit there and make your opponent think twice about sending their biggest ground pounder into combat.

We’ve been getting this type of body for one mana lately, so two is a little less exciting. That said, you do get to Empower Jace for two along the way, which makes the rate much easier to swallow.

It’s not flashy, but it’s a perfectly fine two-drop that can fill a useful role.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,97,https://scryfall.com/card/fra/97/arcane-amphisbaena,https://cards.scryfall.io/normal/front/1/b/1bf923c4-f0b7-4271-978c-fd2e79fe1cc8.jpg?1788878190,1bf923c4-f0b7-4271-978c-fd2e79fe1cc8
Bestial Incursion,Bestial Incursion,Green,G,G,{3}{G},4,Common,Sorcery,,,,normal,,,,2.5,,"Not to harp on power creep again, but this is a straight-up better Shadowbeast Sighting which was a top common in Midnight Hunt.

Granted, that format had a lot more cards that actively cared about the graveyard, and it was almost certainly slower than this one is going to be. Those things matter, but the comparison still says a lot about how far the baseline for Limited cards has moved.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,98,https://scryfall.com/card/fra/98/bestial-incursion,https://cards.scryfall.io/normal/front/e/0/e0de5f66-f0df-4866-9f73-104ce50411b4.jpg?1789127248,e0de5f66-f0df-4866-9f73-104ce50411b4
Budding Insurgent,Budding Insurgent,Green,G,G,{2}{G},3,Common,Creature — Dryad Scout,3,3,,normal,,,,2.0,,"With all of “The Way” enchantments floating around, there’s a nonzero chance you actually get to draw a card when you cash this in on one of them.

The baseline rate is perfectly acceptable, and there’s enough incidental upside here to make it a little more interesting than generic curve filler.

Nothing spectacular, but a totally acceptable card.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,99,https://scryfall.com/card/fra/99/budding-insurgent,https://cards.scryfall.io/normal/front/1/8/18c59d60-2640-4576-9375-3ba38aa3ecb7.jpg?1789127120,18c59d60-2640-4576-9375-3ba38aa3ecb7
Carnivorous Cultivator // Enroot,Carnivorous Cultivator,Green,G,G,{1}{G},2,Rare,Creature — Elf Warlock,2,3,,prepare,Enroot,{G},Sorcery,3.0,,"The rate on a 2/3 deathtoucher for two mana is already fantastic. Whether you get any extra value out of the ability remains to be seen, but you honestly don’t need much.

If this manages to draw you even a single card over the course of the game, it goes from solid to great in a hurry.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,100,https://scryfall.com/card/fra/100/carnivorous-cultivator-enroot,https://cards.scryfall.io/normal/front/7/9/79dd5c54-5ea5-47b5-8f9b-50ed57a5ea45.jpg?1789385967,79dd5c54-5ea5-47b5-8f9b-50ed57a5ea45
Compel Brutality,Compel Brutality,Green,G,G,{1}{G},2,Common,Instant,,,,normal,,,,2.5,,"A bite spell is one of those bread-and-butter cards that most green decks are happy to have in Limited. It’s cheap removal, even if you usually need to take board position and potential tricks into consideration before firing it off.

These cards also tend to get some little set-specific twist, and this time around we get to let our planeswalkers punch creatures in the face.

That’s not exactly revolutionary, but it is useful enough to give the card a little extra flexibility.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,101,https://scryfall.com/card/fra/101/compel-brutality,https://cards.scryfall.io/normal/front/b/d/bd32d736-7a58-46b9-90b4-2cac3c3e80a1.jpg?1788521235,bd32d736-7a58-46b9-90b4-2cac3c3e80a1
Flourishing Grapple,Flourishing Grapple,Green,G,G,{G},1,Uncommon,Instant,,,,normal,,,,0.5,,"You shouldn’t have to grapple with yourself over whether this belongs in your starting 40.

It doesn’t.

This is the kind of card that can absolutely flourish out of the sideboard when the matchup lines up, but main decking it is just asking to stare at a dead card at the worst possible time.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,102,https://scryfall.com/card/fra/102/flourishing-grapple,https://cards.scryfall.io/normal/front/f/7/f71958e9-6d6d-4393-8b49-567103b50877.jpg?1789470852,f71958e9-6d6d-4393-8b49-567103b50877
